Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Dark Forest,Cixin Liu,Joel Martinsen (Translator),9780765386694,paperback,to-read,2025/03/25,"","",0,"",,,,,,,,,"",,"",No
The Three-Body Problem,Cixin Liu,"Ken Liu (Translator), Luke Daniels (Narrator)",9781427251992,audio,read,2025/04/04,2025/04/03,2025/03/21-2025/04/03,1,"mysterious, informative, challenging, adventurous",medium,Plot,No,No,Yes,No,4.5,"","","","",No
The Twyford Code,Janice Hallett,"",9781782837060,digital,read,2024/12/04,2024/12/04,2024/11/21-2024/12/04,1,"mysterious, challenging",medium,A mix,It's complicated,No,No,Yes,4.5,<div>Very creatively written! Warrants re-reading to figure it out.&nbsp;</div>,"","","",No
The Trinity of Fundamentals,Wisam Rafeedie,Muhammad Tutunji (Translator),9798988260219,paperback,to-read,2025/05/17,"","",0,"",,,,,,,,,"",,"",No
Tehanu,Ursula K. Le Guin,"","",digital,to-read,2022/05/24,"","",0,"",,,,,,,,,"",,"",No
Master of Poisons,Andrea Hairston,"","",,read,2022/01/13,2022/01/15,2022/01/03-2022/01/15,1,adventurous,slow,Character,Yes,Yes,Yes,Yes,3.75,"","","","",Yes
Martyr!,Kaveh Akbar,"",9780593537619,hardcover,to-read,2025/03/27,"","",0,"",,,,,,,,,"",,"",No
Designing Data-Intensive Applications,Martin Kleppmann,"",,digital,to-read,2025/05/28,"","",0,"",,,,,,,,,"",,"",No
Coders: The Making of a New Tribe and the Remaking of the World,Clive Thompson,"",9780735220560,hardcover,read,2022/01/13,2022/01/02,2022/01/02,1,"informative, inspiring",medium,,,,,,4.0,"","","","",Yes
Think on These Things,J. Krishnamurti,"",9780060916091,paperback,read,2022/06/28,2022/10/17,2022/10/03-2022/10/17,1,"informative, reflective, inspiring",medium,,,,,,5.0,"","","","",Yes
Clark and Division,Naomi Hirahara,"",9781641292498,hardcover,to-read,2024/09/01,"","",0,"",,,,,,,,,"",,"",No
